iso_code,location,date,total_cases,total_deaths,stringency_index,population,gdp_per_capita,human_development_index
FRO,Faeroe Islands,2020-04-11,184.0,,,48865,,
FRO,Faeroe Islands,2020-04-12,184.0,,,48865,,
FRO,Faeroe Islands,2020-04-13,184.0,,,48865,,
FRO,Faeroe Islands,2020-04-14,184.0,,,48865,,
FRO,Faeroe Islands,2020-04-15,184.0,,,48865,,
FRO,Faeroe Islands,2020-04-16,184.0,,,48865,,
FRO,Faeroe Islands,2020-04-17,184.0,,,48865,,
FRO,Faeroe Islands,2020-04-18,184.0,,,48865,,
FRO,Faeroe Islands,2020-04-19,184.0,,,48865,,
FRO,Faeroe Islands,2020-04-20,185.0,,,48865,,
FRO,Faeroe Islands,2020-04-21,185.0,,,48865,,
FRO,Faeroe Islands,2020-04-22,185.0,,,48865,,
FRO,Faeroe Islands,2020-04-23,185.0,,,48865,,
FRO,Faeroe Islands,2020-04-24,187.0,,,48865,,
FRO,Faeroe Islands,2020-04-25,187.0,,,48865,,
FRO,Faeroe Islands,2020-04-26,187.0,,,48865,,
FRO,Faeroe Islands,2020-04-27,187.0,,,48865,,
FRO,Faeroe Islands,2020-04-28,187.0,,,48865,,
FRO,Faeroe Islands,2020-04-29,187.0,,,48865,,
FRO,Faeroe Islands,2020-04-30,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-01,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-02,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-03,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-04,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-05,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-06,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-07,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-08,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-09,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-10,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-11,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-12,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-13,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-14,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-15,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-16,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-17,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-18,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-19,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-20,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-21,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-22,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-23,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-24,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-25,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-26,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-27,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-28,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-29,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-30,187.0,,,48865,,
FRO,Faeroe Islands,2020-05-31,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-01,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-02,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-03,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-04,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-05,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-06,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-07,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-08,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-09,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-10,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-11,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-12,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-13,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-14,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-15,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-16,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-17,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-18,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-19,187.0,,,48865,,
